Date,Time_Slot,Location,Noise_Level_dB
2024-01-01,Morning,Residential,53.28
2024-01-01,Afternoon,Residential,70.57
2024-01-01,Evening,Commercial,69.52
2024-01-01,Night,Commercial,46.15
2024-01-02,Morning,Residential,54.96
2024-01-02,Afternoon,Commercial,71.84
2024-01-02,Evening,Commercial,70.49
2024-01-02,Night,Residential,50.53
2024-01-03,Morning,Residential,62.5
2024-01-03,Afternoon,Residential,71.95
2024-01-03,Evening,Residential,77.93
2024-01-03,Night,Industrial,52.99
2024-01-04,Morning,Commercial,59.81
2024-01-04,Afternoon,Residential,79.34
2024-01-04,Evening,Park,79.29
2024-01-04,Night,Industrial,45.5
2024-01-05,Morning,Industrial,47.63
2024-01-05,Afternoon,Residential,83.05
2024-01-05,Evening,Park,68.77
2024-01-05,Night,Commercial,47.52
2024-01-06,Morning,Park,62.23
2024-01-06,Afternoon,Commercial,72.98
2024-01-06,Evening,Residential,76.35
2024-01-06,Night,Residential,46.22
2024-01-07,Morning,Park,60.94
2024-01-07,Afternoon,Residential,69.18
2024-01-07,Evening,Industrial,76.71
2024-01-07,Night,Commercial,47.68
2024-01-08,Morning,Residential,62.11
2024-01-08,Afternoon,Residential,64.46
2024-01-08,Evening,Industrial,88.59
2024-01-08,Night,Industrial,50.53
2024-01-09,Morning,Residential,61.47
2024-01-09,Afternoon,Residential,72.27
2024-01-09,Evening,Commercial,83.09
2024-01-09,Night,Industrial,53.09
2024-01-10,Morning,Industrial,62.78
2024-01-10,Afternoon,Industrial,67.32
2024-01-10,Evening,Commercial,63.44
2024-01-10,Night,Residential,48.1
2024-01-11,Morning,Industrial,65.47
2024-01-11,Afternoon,Park,57.53
2024-01-11,Evening,Commercial,73.63
2024-01-11,Night,Industrial,60.55
2024-01-12,Morning,Commercial,56.31
2024-01-12,Afternoon,Commercial,65.37
2024-01-12,Evening,Commercial,76.16
2024-01-12,Night,Residential,49.51
2024-01-13,Morning,Park,51.89
2024-01-13,Afternoon,Residential,70.98
2024-01-13,Evening,Industrial,81.44
2024-01-13,Night,Industrial,54.21
2024-01-14,Morning,Park,54.17
2024-01-14,Afternoon,Industrial,78.52
2024-01-14,Evening,Residential,82.89
2024-01-14,Night,Residential,53.75
2024-01-15,Morning,Residential,55.89
2024-01-15,Afternoon,Residential,73.38
2024-01-15,Evening,Residential,80.66
2024-01-15,Night,Park,54.19
2024-01-16,Morning,Commercial,61.03
2024-01-16,Afternoon,Commercial,68.44
2024-01-16,Evening,Residential,82.39
2024-01-16,Night,Commercial,53.86
2024-01-17,Morning,Residential,59.13
2024-01-17,Afternoon,Residential,68.44
2024-01-17,Evening,Residential,80.85
2024-01-17,Night,Industrial,45.86
2024-01-18,Morning,Park,61.16
2024-01-18,Afternoon,Industrial,71.28
2024-01-18,Evening,Commercial,79.71
2024-01-18,Night,Commercial,54.85
2024-01-19,Morning,Commercial,68.11
2024-01-19,Afternoon,Residential,73.33
2024-01-19,Evening,Park,74.04
2024-01-19,Night,Park,51.47
2024-01-20,Morning,Commercial,63.41
2024-01-20,Afternoon,Residential,70.57
2024-01-20,Evening,Residential,66.51
2024-01-20,Night,Commercial,49.11
2024-01-21,Morning,Industrial,61.07
2024-01-21,Afternoon,Residential,82.14
2024-01-21,Evening,Commercial,82.52
2024-01-21,Night,Residential,58.51
2024-01-22,Morning,Industrial,54.75
2024-01-22,Afternoon,Residential,67.69
2024-01-22,Evening,Residential,71.92
2024-01-22,Night,Residential,48.53
2024-01-23,Morning,Commercial,60.5
2024-01-23,Afternoon,Commercial,71.78
2024-01-23,Evening,Industrial,75.76
2024-01-23,Night,Commercial,47.31
2024-01-24,Morning,Commercial,61.47
2024-01-24,Afternoon,Commercial,52.29
2024-01-24,Evening,Industrial,77.69
2024-01-24,Night,Industrial,50.74
2024-01-25,Morning,Commercial,48.46
2024-01-25,Afternoon,Residential,60.26
2024-01-25,Evening,Residential,78.58
2024-01-25,Night,Park,50.52
2024-01-26,Morning,Commercial,62.65
2024-01-26,Afternoon,Industrial,71.17
2024-01-26,Evening,Residential,74.36
2024-01-26,Night,Commercial,44.42
2024-01-27,Morning,Residential,61.21
2024-01-27,Afternoon,Commercial,71.21
2024-01-27,Evening,Industrial,67.32
2024-01-27,Night,Park,52.41
2024-01-28,Morning,Commercial,58.76
2024-01-28,Afternoon,Park,64.31
2024-01-28,Evening,Residential,76.57
2024-01-28,Night,Residential,46.71
2024-01-29,Morning,Residential,58.44
2024-01-29,Afternoon,Industrial,64.9
2024-01-29,Evening,Commercial,60.17
2024-01-29,Night,Residential,49.06
2024-01-30,Morning,Residential,61.02
2024-01-30,Afternoon,Commercial,67.75
2024-01-30,Evening,Residential,79.7
2024-01-30,Night,Residential,48.8
